Year of award,Name,Film,Oscar category,Birth place,Birth date,Race/Ethnicity,Religion,Sexual orientation,Bio URL,_unit_state
1990,Oliver Stone,Born on the Fourth of July,Best Director,New York City,15-Sep-46,White,Atheist,Straight,http://www.nndb.com/people/545/000022479/,finalized
1951,Judy Holliday,Born Yesterday,Best Actress,New York City,21-Jun-21,White,Na,Straight,http://www.nndb.com/people/808/000063619/,finalized
2000,Hilary Swank,Boys Don't Cry,Best Actress,"Lincoln, Ne",30-Jul-74,White,Na,Straight,http://www.nndb.com/people/333/000026255/,finalized
1939,Spencer Tracy,Boys Town,Best Actor,"Milwaukee, Wi",5-Apr-00,White,Roman Catholic,Straight,http://www.nndb.com/people/979/000024907/,finalized
1996,Mel Gibson,Braveheart,Best Director,"Peekskill, Ny",3-Jan-56,White,Roman Catholic,Straight,http://www.nndb.com/people/583/000022517/,finalized
2006,Ang Lee,Brokeback Mountain,Best Director,"Pingtung, Taiwan",23-Oct-54,Asian,Na,Straight,http://www.nndb.com/people/394/000025319/,finalized
1995,Dianne Wiest,Bullets Over Broadway,Best Supporting Actress,"Kansas City, Mo",28-Mar-48,White,Na,Straight,http://www.nndb.com/people/894/000024822/,finalized
1961,Elizabeth Taylor,Butterfield 8,Best Actress,"London, England",27-Feb-32,White,Jewish,Straight,http://www.nndb.com/people/624/000023555/,finalized
1973,Eileen Heckart,Butterflies Are Free,Best Supporting Actress,"Columbus, Oh",29-Mar-19,White,Na,Straight,http://www.nndb.com/people/828/000063639/,finalized
1973,Liza Minnelli,Cabaret,Best Actress,"Los Angeles, Ca",12-Mar-46,White,Na,Na,http://www.nndb.com/people/724/000024652/,finalized
1970,Goldie Hawn,Cactus Flower,Best Supporting Actress,"Silver Spring, Md",21-Nov-45,White,Buddhist,Straight,http://www.nndb.com/people/996/000022930/,finalized
1979,Maggie Smith,California Suite,Best Supporting Actress,"Ilford, Essex, England",28-Dec-34,White,Na,Straight,http://www.nndb.com/people/260/000030170/,finalized
2006,Philip Seymour Hoffman,Capote,Best Actor,"Fairport, Ny",23-Jul-67,White,Na,Straight,http://www.nndb.com/people/409/000027328/,finalized
1938,Spencer Tracy,Captains Courageous,Best Actor,"Milwaukee, Wi",5-Apr-00,White,Roman Catholic,Straight,http://www.nndb.com/people/979/000024907/,finalized
1944,Michael Curtiz,Casablanca,Best Director,"Budapest, Hungary",24-Dec-1886,White,Na,Straight,http://www.nndb.com/people/676/000032580/,finalized
1966,Lee Marvin,Cat Ballou,Best Actor,New York City,19-Feb-24,White,Na,Straight,http://www.nndb.com/people/314/000026236/,finalized
1934,Frank Lloyd,Cavalcade,Best Director,"Glasgow, Scotland",2-Feb-1886,White,Na,Straight,http://www.nndb.com/people/626/000042500/,finalized
1969,Cliff Robertson,Charly,Best Actor,"La Jolla, Ca",9-Sep-23,White,Na,Straight,http://www.nndb.com/people/134/000023065/,finalized
2003,Catherine Zeta-Jones,Chicago,Best Supporting Actress,"Mumbles, Wales",25-Sep-69,White,Roman Catholic,Straight,http://www.nndb.com/people/516/000023447/,finalized
1987,Marlee Matlin,Children of a Lesser God,Best Actress,"Morton Grove, Il",24-Aug-65,White,Jewish,Straight,http://www.nndb.com/people/870/000023801/,finalized
1992,Jack Palance,City Slickers,Best Supporting Actor,"Lattimer Mines, Pa",18-Feb-19,White,Na,Straight,http://www.nndb.com/people/579/000022513/,finalized
1981,Sissy Spacek,Coal Miner's Daughter,Best Actress,"Quitman, Tx",25-Dec-49,White,Na,Straight,http://www.nndb.com/people/758/000023689/,finalized
1986,Don Ameche,Cocoon,Best Supporting Actor,"Kenosha, Wi",31-May-04,White,Roman Catholic,Straight,http://www.nndb.com/people/736/000024664/,finalized
2004,Renee Zellweger,Cold Mountain,Best Supporting Actress,"Katy, Tx",25-Apr-69,White,Na,Straight,http://www.nndb.com/people/708/000024636/,finalized
